Entity ISIN,company_name
GB0007980591,bp
CH0130293662,bkw
FR0010242511,edf
IT0003132476,eni
US26884L1098,eqt
US62955J1034,nov
TH0646010Z00,ptt
GB0007908733,sse
DE000BASF111,basf
IT0003128367,enel
INE733E01010,ntpc
DE000ENAG999,e. on
CA2908761018,emera
BRENEVACNOR8,eneva
FR0010208488,engie
IT0000433307,saras
ZAE000006896,sasol
GB00BP6MXD84,shell
ES0130670112,endesa
US30034W1062,evergy
AT0000743059,omv ag
DK0060094928,orsted
ES0173516115,repsol
ES0125220311,acciona
CA0213611001,altagas
NO0010096985,equinor
IT0001157020,erg spa
GB0004478896,hunting
DE0007236101,siemens
US00130H1059,aes corp
GB00B033F229,centrica
BRCPLEACNOR8,copel on
CA29250N1050,enbridge
LU0075646355,subsea 7
TH0796010005,thai oil
US9026811052,ugi corp
COC04PA00016,ecopetrol
AU000000FMG4,fortescue
GRS145003000,gek terna
BRGGBRACNPR8,gerdau pn
ES0144580Y14,iberdrola
JP3200450009,orix corp
DE0007037129,rwe stamm
KR7018670000,sk gas co
FR0013506730,vallourec
AT0000746409,verbund a
US2333311072,dte energy
KR7267250009,hd hyundai
JP3294460005,inpex corp
US55277P1049,mge energy
US6293775085,nrg energy
US1491231015,caterpillar
IL0010841281,delek group
PLENEA000013,enea poland
FI0009007132,fortum corp
JP3143600009,itochu corp
JP3893600001,mitsui & co
NO0005052605,norsk hydro
US7185461040,phillips 66
US98389B1008,xcel energy
AU000000BPT9,beach energy
BRBRKMACNPA4,braskem pn a
US1667641005,chevron corp
CA4530384086,imperial oil
JP3180400008,osaka gas co
US69318G1067,pbf energy a
BRPETRACNPR6,petrobras pn
MYL6033OO004,petronas gas
SA14TG012N13,saudi aramco
JP3573000001,tokyo gas co
CA89055A2039,topaz energy
CH0012138530,credit suisse
BMG5320C1082,kunlun energy
JP3877600001,marubeni corp
AU000000ORG5,origin energy
US8168511090,sempra energy
JP3404600003,sumitomo corp
CA8672241079,suncor energy
INE245A01021,tata power co
INE813H01021,torrent power
FR0000120271,totalenergies
JP3635000007,toyota tsusho
US9129091081,us steel corp
ID1000106701,akr corporindo
AU000000BHP4,bhp group (au)
JP3386450005,eneos holdings
NZGNEE0001S7,genesis energy
CA45833V1094,inter pipeline
US65339F1012,nextera energy
IL0025902482,oil refineries
IL0010819428,shikun & binui
US86722A1034,suncoke energy
CA89346D1078,transalta corp
US03743Q1085,apa corporation
US25746U1097,dominion energy
INE242A01010,indian oil corp
US49456B1017,kinder morgan p
AU000000MQG1,macquarie group
JP3898400001,mitsubishi corp
CNE1000003W8,petrochina co h
US0921131092,black hills corp
US26441C2044,duke energy corp
US30231G1022,exxon mobil corp
US53115L1044,liberty energy a
GRS426003000,motor oil hellas
CA7063271034,pembina pipeline
US92939U1060,wec energy group
US18539C1053,clearway energy a
US30040W1080,eversource energy
JP3142500002,idemitsu kosan co
ID1000053705,medco energi intl
AU000000MIN4,mineral resources
PLPGER000010,polska grupa ener
GRS434003000,public power corp
US15189T1079,centerpoint energy
BMG2109G1033,china gas holdings
JP3551200003,electric power dev
US56585A1025,marathon petroleum
US0188021085,alliant energy corp
US2091151041,consolidated edison
US30069T1016,excelerate energy a
PTGAL0AM0009,galp energia sgps b
TH0471010Y04,irpc public company
US5526901096,mdu resources group
US0846707026,berkshire hathaway b
US13057Q3056,california resources
CA1367178326,canadian utilities a
CNE1000002Q2,china petro & chem h
JP3421100003,japan petroleum expl
ES0116870314,naturgy energy group
US6745991058,occidental petroleum
US69888T2078,par pacific holdings
CA0158571053,algonquin power & utl
CZ0005112300,cez ceske ener zavody
HK0836012952,china resources power
KR7036460004,korea gas corporation
NL0009434992,lyondellbasell inds a
US6443931000,new fortress energy a
JP3311600005,saibu gas holdings co
PLTAURN00011,tauron polska energia
CNE1000002R0,china shenhua energy h
US4198701009,hawaiian electric inds
CNE000001LJ2,huadian power a (hk-c)
GRS393503008,metlen energy & metals
INE213A01029,oil & natural gas corp
TH0355A10Z04,ptt exploration & prod
BRUNIPACNPB8,unipar carbocloro pn b
CNE100000X69,china datang corp ren h
JP3526600006,chubu electric power co
KR7006360002,gs engineering & constr
TH8319010Z06,gulf energy development
US6680743050,northwestern energy grp
BMG202981087,cgn new energy hldgs(cn)
CNE1000051F2,china three gor a (hk-c)
JP3298000005,cosmo energy holdings co
TW0006505001,formosa petrochemical co
INE094A01015,hindustan petroleum corp
JP3228600007,kansai electric power co
JP3246400000,kyushu electric power co
CNE100000W60,rongsheng petro a (hk-c)
CNE100001T64,shaanxi coal ind a(hk-c)
JP3605400005,tohoku electric power co